INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP,Unnamed: 15
FUTSTK,ADANIPORTS,30-Sep-2021,0.0,XX,770.85,774.9,761.0,770.95,770.95,6919,66458.27,87856250,158750,16-SEP-2021,
FUTSTK,ADANIPORTS,28-Oct-2021,0.0,XX,774.55,777.4,764.25,773.75,773.75,722,6961.82,1573750,316250,16-SEP-2021,
FUTSTK,ADANIPORTS,25-Nov-2021,0.0,XX,780.05,780.05,768.0,777.35,777.35,46,445.58,145000,18750,16-SEP-2021,
FUTSTK,ALKEM,30-Sep-2021,0.0,XX,3870.95,3894.85,3823.5,3872.9,3872.9,574,4430.69,387200,8400,16-SEP-2021,
FUTSTK,ALKEM,28-Oct-2021,0.0,XX,3900.0,3900.0,3846.0,3885.0,3885.0,35,270.83,14600,800,16-SEP-2021,
FUTSTK,ALKEM,25-Nov-2021,0.0,XX,3880.0,3907.15,3880.0,3903.6,3903.6,3,23.37,2400,400,16-SEP-2021,
FUTSTK,AMARAJABAT,30-Sep-2021,0.0,XX,745.75,747.8,733.3,739.5,739.5,1243,9185.21,6965000,-172000,16-SEP-2021,
FUTSTK,AMARAJABAT,28-Oct-2021,0.0,XX,748.8,748.8,736.7,741.95,741.95,308,2283.51,696000,117000,16-SEP-2021,
FUTSTK,AMARAJABAT,25-Nov-2021,0.0,XX,748.9,748.9,739.6,743.2,743.2,40,297.03,140000,19000,16-SEP-2021,
FUTSTK,AMBUJACEM,30-Sep-2021,0.0,XX,437.25,440.3,429.35,431.1,431.1,1244,16153.85,14700000,438000,16-SEP-2021,
FUTSTK,AMBUJACEM,28-Oct-2021,0.0,XX,439.95,440.35,430.8,431.9,431.9,83,1079.35,327000,9000,16-SEP-2021,
FUTSTK,AMBUJACEM,25-Nov-2021,0.0,XX,439.55,440.75,431.0,431.5,431.5,18,234.26,96000,39000,16-SEP-2021,
FUTSTK,APLLTD,30-Sep-2021,0.0,XX,791.6,797.1,780.55,783.75,783.75,628,2714.81,1739650,550,16-SEP-2021,
FUTSTK,APLLTD,28-Oct-2021,0.0,XX,795.0,798.35,784.1,787.5,787.5,109,473.01,166100,30250,16-SEP-2021,
FUTSTK,APLLTD,25-Nov-2021,0.0,XX,797.75,797.75,784.25,790.4,790.4,43,186.51,31900,-4950,16-SEP-2021,
FUTSTK,APOLLOHOSP,30-Sep-2021,0.0,XX,4830.95,4889.4,4797.0,4879.8,4879.8,4146,50299.26,2623500,-88750,16-SEP-2021,
FUTSTK,APOLLOHOSP,28-Oct-2021,0.0,XX,4875.0,4901.85,4817.0,4894.1,4894.1,149,1813.26,62000,2000,16-SEP-2021,
FUTSTK,APOLLOHOSP,25-Nov-2021,0.0,XX,4890.0,4890.0,4848.0,4885.0,4916.45,21,255.4,11500,1000,16-SEP-2021,
FUTSTK,APOLLOTYRE,30-Sep-2021,0.0,XX,223.1,225.9,221.8,222.45,222.45,1791,10003.49,12807500,335000,16-SEP-2021,
FUTSTK,APOLLOTYRE,28-Oct-2021,0.0,XX,223.8,226.6,222.7,223.25,223.25,221,1239.25,957500,265000,16-SEP-2021,
FUTSTK,APOLLOTYRE,25-Nov-2021,0.0,XX,224.6,226.6,224.0,224.05,224.05,17,95.5,197500,27500,16-SEP-2021,
FUTSTK,ASHOKLEY,30-Sep-2021,0.0,XX,129.2,129.8,126.45,127.25,127.25,2895,16640.34,43362000,-2119500,16-SEP-2021,
FUTSTK,ASHOKLEY,28-Oct-2021,0.0,XX,129.85,130.25,127.0,127.75,127.75,305,1759.74,3573000,81000,16-SEP-2021,
FUTSTK,ASHOKLEY,25-Nov-2021,0.0,XX,129.75,129.75,128.0,128.15,128.15,25,144.57,301500,-9000,16-SEP-2021,
FUTSTK,ASIANPAINT,30-Sep-2021,0.0,XX,3341.05,3369.5,3339.0,3344.4,3344.4,2186,21968.75,4759200,-18300,16-SEP-2021,
FUTSTK,ASIANPAINT,28-Oct-2021,0.0,XX,3358.35,3374.0,3348.75,3354.7,3354.7,192,1933.95,89100,22500,16-SEP-2021,
FUTSTK,ASIANPAINT,25-Nov-2021,0.0,XX,3384.95,3384.95,3359.55,3360.0,3360.0,7,70.65,18600,300,16-SEP-2021,
FUTSTK,ASTRAL,30-Sep-2021,0.0,XX,2145.0,2160.0,2115.4,2130.6,2130.6,337,1979.7,449075,-1650,16-SEP-2021,
FUTSTK,ASTRAL,28-Oct-2021,0.0,XX,2164.0,2164.0,2130.0,2136.05,2136.05,28,165.11,28600,275,16-SEP-2021,
FUTSTK,ASTRAL,25-Nov-2021,0.0,XX,2139.9,2139.9,2139.9,2139.9,2143.1,1,5.88,3025,275,16-SEP-2021,
FUTSTK,AUBANK,30-Sep-2021,0.0,XX,1142.2,1164.6,1132.2,1157.4,1157.4,3123,18005.58,4382000,139500,16-SEP-2021,
FUTSTK,AUBANK,28-Oct-2021,0.0,XX,1137.8,1162.0,1137.5,1155.85,1155.85,276,1587.68,350500,14000,16-SEP-2021,
FUTSTK,AUBANK,25-Nov-2021,0.0,XX,1139.3,1160.0,1139.3,1156.6,1156.6,33,190.37,51000,-4500,16-SEP-2021,
FUTSTK,AUROPHARMA,30-Sep-2021,0.0,XX,761.15,763.0,752.5,754.75,754.75,2624,12898.22,13715650,-187850,16-SEP-2021,
FUTSTK,AUROPHARMA,28-Oct-2021,0.0,XX,760.8,762.9,756.0,757.85,757.85,427,2106.8,1058200,105300,16-SEP-2021,
FUTSTK,AUROPHARMA,25-Nov-2021,0.0,XX,760.9,765.4,759.85,760.4,760.4,21,104.01,89700,7150,16-SEP-2021,
FUTSTK,AXISBANK,30-Sep-2021,0.0,XX,793.4,808.8,791.2,805.35,805.35,15337,147532.89,32730000,2214000,16-SEP-2021,
FUTSTK,AXISBANK,28-Oct-2021,0.0,XX,797.35,811.65,794.1,807.5,807.5,1115,10773.31,1016400,375600,16-SEP-2021,
FUTSTK,AXISBANK,25-Nov-2021,0.0,XX,800.8,813.35,797.0,810.35,810.35,51,492.42,109200,-1200,16-SEP-2021,
FUTSTK,BAJAJ-AUTO,30-Sep-2021,0.0,XX,3791.15,3837.0,3790.0,3819.15,3819.15,4706,44943.27,3118000,21750,16-SEP-2021,
FUTSTK,BAJAJ-AUTO,28-Oct-2021,0.0,XX,3811.95,3850.95,3810.15,3832.25,3832.25,423,4054.4,174250,21750,16-SEP-2021,
FUTSTK,BAJAJ-AUTO,25-Nov-2021,0.0,XX,3855.8,3864.3,3833.0,3850.6,3850.6,38,365.85,17250,3000,16-SEP-2021,
FUTSTK,BAJAJFINSV,30-Sep-2021,0.0,XX,16926.25,16983.45,16662.25,16784.0,16784.0,2524,31781.03,797700,1275,16-SEP-2021,
FUTSTK,BAJAJFINSV,28-Oct-2021,0.0,XX,16964.15,17007.0,16715.65,16836.55,16836.55,136,1718.4,23775,2550,16-SEP-2021,
FUTSTK,BAJAJFINSV,25-Nov-2021,0.0,XX,16966.5,16966.55,16807.35,16807.35,16855.55,5,63.36,3525,225,16-SEP-2021,
FUTSTK,BAJFINANCE,30-Sep-2021,0.0,XX,7457.75,7461.65,7350.05,7433.4,7433.4,6485,59989.1,4061500,21750,16-SEP-2021,
FUTSTK,BAJFINANCE,28-Oct-2021,0.0,XX,7467.85,7477.85,7375.15,7458.35,7458.35,513,4757.84,126500,11125,16-SEP-2021,
FUTSTK,BAJFINANCE,25-Nov-2021,0.0,XX,7494.0,7494.0,7400.0,7475.0,7475.0,20,186.11,11625,625,16-SEP-2021,
FUTSTK,BALKRISIND,30-Sep-2021,0.0,XX,2511.65,2534.95,2481.0,2510.2,2510.2,652,6545.14,1336800,-5600,16-SEP-2021,
FUTSTK,BALKRISIND,28-Oct-2021,0.0,XX,2521.3,2524.1,2500.0,2519.25,2519.25,17,171.13,24000,-800,16-SEP-2021,
FUTSTK,BALKRISIND,25-Nov-2021,0.0,XX,2515.2,2527.3,2515.2,2527.3,2529.05,2,20.17,6800,0,16-SEP-2021,
FUTSTK,BANDHANBNK,30-Sep-2021,0.0,XX,293.45,299.05,289.35,298.3,298.3,5260,28001.27,25286400,-599400,16-SEP-2021,
FUTSTK,BANDHANBNK,28-Oct-2021,0.0,XX,295.0,300.0,290.45,299.4,299.4,496,2650.24,1794600,210600,16-SEP-2021,
FUTSTK,BANDHANBNK,25-Nov-2021,0.0,XX,295.9,300.8,293.8,300.45,300.45,101,542.39,153000,-3600,16-SEP-2021,
FUTSTK,BANKBARODA,30-Sep-2021,0.0,XX,81.6,86.8,80.5,86.25,86.25,10747,105981.78,158078700,6610500,16-SEP-2021,
FUTSTK,BANKBARODA,28-Oct-2021,0.0,XX,81.9,87.0,80.95,86.55,86.55,1329,13203.44,14344200,6540300,16-SEP-2021,
FUTSTK,BANKBARODA,25-Nov-2021,0.0,XX,82.55,87.25,81.2,86.9,86.9,76,753.23,596700,23400,16-SEP-2021,
FUTSTK,BATAINDIA,30-Sep-2021,0.0,XX,1827.25,1847.0,1805.7,1809.7,1809.7,1003,10060.57,1776500,-44550,16-SEP-2021,
FUTSTK,BATAINDIA,28-Oct-2021,0.0,XX,1844.45,1851.65,1814.6,1815.45,1815.45,49,492.71,42350,2200,16-SEP-2021,
FUTSTK,BATAINDIA,25-Nov-2021,0.0,XX,1844.35,1845.3,1834.35,1834.35,1818.15,4,40.51,4400,0,16-SEP-2021,
FUTSTK,BEL,30-Sep-2021,0.0,XX,208.05,208.95,205.5,206.25,206.25,1499,11795.92,23829800,-767600,16-SEP-2021,
FUTSTK,BEL,28-Oct-2021,0.0,XX,209.1,209.75,206.4,206.85,206.85,146,1153.34,820800,79800,16-SEP-2021,
FUTSTK,BEL,25-Nov-2021,0.0,XX,208.0,209.2,207.2,207.2,207.2,9,71.06,129200,3800,16-SEP-2021,
FUTSTK,BERGEPAINT,30-Sep-2021,0.0,XX,839.45,843.95,834.5,835.85,835.85,642,5923.12,4862000,107800,16-SEP-2021,
FUTSTK,BERGEPAINT,28-Oct-2021,0.0,XX,843.5,844.5,838.0,838.45,838.45,32,295.98,163900,12100,16-SEP-2021,
FUTSTK,BERGEPAINT,25-Nov-2021,0.0,XX,844.2,844.2,841.25,841.25,839.85,4,37.09,18700,4400,16-SEP-2021,
FUTSTK,BHARATFORG,30-Sep-2021,0.0,XX,792.05,796.75,780.0,780.95,780.95,1197,14104.0,8308500,166500,16-SEP-2021,
FUTSTK,BHARATFORG,28-Oct-2021,0.0,XX,797.0,797.0,783.1,783.85,783.85,168,1984.36,316500,100500,16-SEP-2021,
FUTSTK,BHARATFORG,25-Nov-2021,0.0,XX,792.4,792.4,786.5,786.5,784.2,3,35.48,37500,3000,16-SEP-2021,
FUTSTK,BHARTIARTL,30-Sep-2021,0.0,XX,732.0,738.55,716.55,719.2,719.2,30903,415662.47,63798417,-3259611,16-SEP-2021,
FUTSTK,BHARTIARTL,28-Oct-2021,0.0,XX,732.25,737.1,718.25,721.4,721.4,2839,38158.68,3653874,1273488,16-SEP-2021,
FUTSTK,BHARTIARTL,25-Nov-2021,0.0,XX,733.0,738.05,719.3,722.1,722.1,289,3890.37,372051,85146,16-SEP-2021,
FUTSTK,BHEL,30-Sep-2021,0.0,XX,58.2,60.2,57.65,58.25,58.25,4750,29352.33,114576000,-3013500,16-SEP-2021,
FUTSTK,BHEL,28-Oct-2021,0.0,XX,58.55,60.35,57.9,58.5,58.5,735,4545.52,11665500,1113000,16-SEP-2021,
FUTSTK,BHEL,25-Nov-2021,0.0,XX,58.9,60.0,58.5,58.8,58.8,56,348.16,976500,73500,16-SEP-2021,
FUTSTK,BIOCON,30-Sep-2021,0.0,XX,359.0,380.3,356.2,378.4,378.4,6188,53108.89,18577100,1929700,16-SEP-2021,
FUTSTK,BIOCON,28-Oct-2021,0.0,XX,359.7,381.7,357.75,379.5,379.5,466,4008.57,1108600,105800,16-SEP-2021,
FUTSTK,BIOCON,25-Nov-2021,0.0,XX,361.0,382.0,360.1,380.5,380.5,26,223.89,78200,2300,16-SEP-2021,
FUTSTK,BOSCHLTD,30-Sep-2021,0.0,XX,14697.0,15624.95,14697.0,15265.8,15265.8,5210,39776.31,136000,-21650,16-SEP-2021,
FUTSTK,BOSCHLTD,28-Oct-2021,0.0,XX,14844.85,15698.5,14840.0,15341.0,15341.0,323,2473.32,7950,150,16-SEP-2021,
FUTSTK,BOSCHLTD,25-Nov-2021,0.0,XX,15206.65,15700.0,15100.0,15388.0,15388.0,27,207.24,1450,150,16-SEP-2021,
FUTSTK,BPCL,30-Sep-2021,0.0,XX,437.0,442.0,435.5,439.3,439.3,10143,80192.33,40773600,-3474000,16-SEP-2021,
FUTSTK,BPCL,28-Oct-2021,0.0,XX,445.05,445.05,438.0,441.0,441.0,1562,12394.98,1683000,837000,16-SEP-2021,
FUTSTK,BPCL,25-Nov-2021,0.0,XX,439.9,443.1,437.85,441.2,441.2,154,1221.59,311400,163800,16-SEP-2021,
FUTSTK,BRITANNIA,30-Sep-2021,0.0,XX,4085.05,4112.25,4051.05,4080.5,4080.5,1071,8735.97,1297400,-16600,16-SEP-2021,
FUTSTK,BRITANNIA,28-Oct-2021,0.0,XX,4090.55,4118.0,4061.9,4089.45,4089.45,109,890.21,50400,10800,16-SEP-2021,
FUTSTK,BRITANNIA,25-Nov-2021,0.0,XX,4100.0,4100.0,4080.0,4094.95,4094.95,5,40.92,3800,600,16-SEP-2021,
FUTSTK,CADILAHC,30-Sep-2021,0.0,XX,567.45,568.75,561.5,564.05,564.05,1433,17793.25,17622000,149600,16-SEP-2021,
FUTSTK,CADILAHC,28-Oct-2021,0.0,XX,569.4,570.1,564.0,566.2,566.2,266,3317.69,1764400,217800,16-SEP-2021,
FUTSTK,CADILAHC,25-Nov-2021,0.0,XX,570.35,570.75,567.05,568.65,568.65,11,137.59,184800,4400,16-SEP-2021,
FUTSTK,CANBK,30-Sep-2021,0.0,XX,162.0,167.9,160.5,166.85,166.85,2485,22140.89,61614000,-7851600,16-SEP-2021,
FUTSTK,CANBK,28-Oct-2021,0.0,XX,163.2,168.05,160.95,167.65,167.65,116,1036.89,3834000,-626400,16-SEP-2021,
FUTSTK,CANBK,25-Nov-2021,0.0,XX,163.0,167.0,161.1,167.0,167.0,20,178.09,226800,-108000,16-SEP-2021,
FUTSTK,CANFINHOME,30-Sep-2021,0.0,XX,630.0,635.2,622.25,625.2,625.2,1301,7988.89,3682575,3900,16-SEP-2021,
FUTSTK,CANFINHOME,28-Oct-2021,0.0,XX,628.65,637.25,625.3,628.0,628.0,105,647.78,206700,24375,16-SEP-2021,
FUTSTK,CANFINHOME,25-Nov-2021,0.0,XX,637.0,638.55,636.2,636.2,628.35,3,18.63,13650,1950,16-SEP-2021,
FUTSTK,CHOLAFIN,30-Sep-2021,0.0,XX,582.65,620.0,579.0,611.4,611.4,6473,48900.42,11553750,660000,16-SEP-2021,
FUTSTK,CHOLAFIN,28-Oct-2021,0.0,XX,587.15,621.6,581.4,613.4,613.4,213,1613.4,197500,40000,16-SEP-2021,
FUTSTK,CHOLAFIN,25-Nov-2021,0.0,XX,590.0,620.0,590.0,612.2,612.2,14,106.93,22500,6250,16-SEP-2021,
FUTSTK,CIPLA,30-Sep-2021,0.0,XX,956.95,966.95,952.1,955.45,955.45,4441,27721.37,11592100,107250,16-SEP-2021,
FUTSTK,CIPLA,28-Oct-2021,0.0,XX,963.45,970.6,956.05,958.45,958.45,272,1703.75,232050,24700,16-SEP-2021,
FUTSTK,CIPLA,25-Nov-2021,0.0,XX,970.45,973.0,960.0,961.0,961.0,31,195.21,43550,-6500,16-SEP-2021,
FUTSTK,COALINDIA,30-Sep-2021,0.0,XX,162.0,163.4,157.95,162.85,162.85,7357,49827.66,53109000,3465000,16-SEP-2021,
FUTSTK,COALINDIA,28-Oct-2021,0.0,XX,163.15,163.8,158.6,163.25,163.25,905,6138.74,3771600,415800,16-SEP-2021,
FUTSTK,COALINDIA,25-Nov-2021,0.0,XX,161.75,163.0,158.6,162.75,162.75,88,594.72,537600,67200,16-SEP-2021,
FUTSTK,COFORGE,30-Sep-2021,0.0,XX,5435.2,5514.45,5375.9,5462.5,5462.5,3728,40645.42,803800,-78000,16-SEP-2021,
FUTSTK,COFORGE,28-Oct-2021,0.0,XX,5496.3,5515.0,5401.0,5472.6,5472.6,100,1091.97,18200,1200,16-SEP-2021,
FUTSTK,COFORGE,25-Nov-2021,0.0,XX,5454.0,5454.0,5454.0,5454.0,5505.5,1,10.9,1400,0,16-SEP-2021,
FUTSTK,COLPAL,30-Sep-2021,0.0,XX,1736.55,1753.5,1720.05,1722.15,1722.15,2616,15902.0,2928450,232750,16-SEP-2021,
FUTSTK,COLPAL,28-Oct-2021,0.0,XX,1736.95,1749.15,1719.35,1721.15,1721.15,339,2056.05,152250,54600,16-SEP-2021,
FUTSTK,COLPAL,25-Nov-2021,0.0,XX,1736.0,1746.45,1718.15,1720.45,1720.45,22,133.59,15050,3850,16-SEP-2021,
FUTSTK,CONCOR,30-Sep-2021,0.0,XX,726.5,742.8,720.4,732.45,732.45,2360,27067.05,7527408,-137544,16-SEP-2021,
FUTSTK,CONCOR,28-Oct-2021,0.0,XX,725.75,744.95,725.0,735.2,735.2,113,1301.76,279777,12504,16-SEP-2021,
FUTSTK,CONCOR,25-Nov-2021,0.0,XX,725.7,741.95,725.7,735.8,735.8,7,80.78,20319,3126,16-SEP-2021,
FUTSTK,COROMANDEL,30-Sep-2021,0.0,XX,832.75,846.9,832.75,836.0,836.0,995,5226.16,1804375,-33750,16-SEP-2021,
FUTSTK,COROMANDEL,28-Oct-2021,0.0,XX,845.05,849.4,836.5,838.35,838.35,154,810.64,154375,25000,16-SEP-2021,
FUTSTK,COROMANDEL,25-Nov-2021,0.0,XX,848.1,851.0,848.1,849.3,839.65,4,21.24,27500,0,16-SEP-2021,
FUTSTK,CUB,30-Sep-2021,0.0,XX,156.05,161.55,156.0,158.3,158.3,1924,9454.1,8069300,939300,16-SEP-2021,
FUTSTK,CUB,28-Oct-2021,0.0,XX,157.25,162.0,156.6,158.75,158.75,309,1524.09,902100,347200,16-SEP-2021,
FUTSTK,CUB,25-Nov-2021,0.0,XX,157.7,162.05,157.5,159.5,159.5,27,133.63,105400,21700,16-SEP-2021,
FUTSTK,CUMMINSIND,30-Sep-2021,0.0,XX,1045.4,1051.95,1026.9,1033.7,1033.7,940,5859.46,2065800,-17400,16-SEP-2021,
FUTSTK,CUMMINSIND,28-Oct-2021,0.0,XX,1043.3,1051.0,1031.9,1035.35,1035.35,37,230.98,61200,2400,16-SEP-2021,
FUTSTK,CUMMINSIND,25-Nov-2021,0.0,XX,1053.95,1053.95,1053.95,1053.95,1039.65,1,6.32,3600,600,16-SEP-2021,
FUTSTK,DABUR,30-Sep-2021,0.0,XX,644.4,646.4,638.7,640.15,640.15,1802,14468.09,10735000,86250,16-SEP-2021,
FUTSTK,DABUR,28-Oct-2021,0.0,XX,643.05,648.2,641.5,642.5,642.5,82,660.41,236250,36250,16-SEP-2021,
FUTSTK,DABUR,25-Nov-2021,0.0,XX,645.7,646.1,642.2,643.0,643.0,10,80.6,40000,1250,16-SEP-2021,
FUTSTK,DEEPAKNTR,30-Sep-2021,0.0,XX,2460.4,2470.95,2425.0,2455.75,2455.75,1481,18133.0,2585500,-27000,16-SEP-2021,
FUTSTK,DEEPAKNTR,28-Oct-2021,0.0,XX,2467.55,2477.55,2436.0,2463.8,2463.8,117,1436.97,128500,14000,16-SEP-2021,
FUTSTK,DEEPAKNTR,25-Nov-2021,0.0,XX,2472.0,2476.0,2460.0,2476.0,2476.0,4,49.39,18500,2000,16-SEP-2021,
FUTSTK,DIVISLAB,30-Sep-2021,0.0,XX,5155.85,5179.85,5125.9,5165.3,5165.3,1733,17853.05,2228000,-62600,16-SEP-2021,
FUTSTK,DIVISLAB,28-Oct-2021,0.0,XX,5186.45,5189.6,5146.05,5181.95,5181.95,104,1075.12,74200,2000,16-SEP-2021,
FUTSTK,DIVISLAB,25-Nov-2021,0.0,XX,5205.0,5205.0,5170.0,5193.0,5193.0,16,166.08,6000,-400,16-SEP-2021,
FUTSTK,DIXON,30-Sep-2021,0.0,XX,4275.5,4303.5,4240.2,4258.85,4258.85,830,4428.57,394250,10750,16-SEP-2021,
FUTSTK,DIXON,28-Oct-2021,0.0,XX,4301.45,4318.45,4260.0,4275.2,4275.2,129,690.77,38125,6375,16-SEP-2021,
FUTSTK,DIXON,25-Nov-2021,0.0,XX,4327.65,4338.0,4295.7,4295.7,4295.7,7,37.69,4625,500,16-SEP-2021,
FUTSTK,DLF,30-Sep-2021,0.0,XX,343.15,344.9,339.5,342.85,342.85,2805,31704.69,34956900,-699600,16-SEP-2021,
FUTSTK,DLF,28-Oct-2021,0.0,XX,344.05,346.0,341.0,344.1,344.1,159,1803.52,1207800,115500,16-SEP-2021,
FUTSTK,DLF,25-Nov-2021,0.0,XX,344.8,344.95,344.5,344.95,344.95,7,79.66,168300,16500,16-SEP-2021,
FUTSTK,DRREDDY,30-Sep-2021,0.0,XX,4980.2,4995.0,4930.1,4940.95,4940.95,3628,22513.83,2803000,49375,16-SEP-2021,
FUTSTK,DRREDDY,28-Oct-2021,0.0,XX,4997.2,5011.6,4950.0,4958.9,4958.9,476,2963.48,123750,20375,16-SEP-2021,
FUTSTK,DRREDDY,25-Nov-2021,0.0,XX,4925.0,5033.25,4925.0,4979.65,4979.65,41,256.32,14750,3625,16-SEP-2021,
FUTSTK,EICHERMOT,30-Sep-2021,0.0,XX,2861.8,2884.0,2840.0,2856.6,2856.6,2246,22464.21,3903550,-15400,16-SEP-2021,
FUTSTK,EICHERMOT,28-Oct-2021,0.0,XX,2870.0,2879.95,2840.05,2854.85,2854.85,218,2177.52,207550,19250,16-SEP-2021,
FUTSTK,EICHERMOT,25-Nov-2021,0.0,XX,2870.0,2870.0,2853.0,2860.0,2881.2,7,70.05,15400,-700,16-SEP-2021,
FUTSTK,ESCORTS,30-Sep-2021,0.0,XX,1471.4,1471.5,1441.35,1447.8,1447.8,381,3050.41,6446550,-207900,16-SEP-2021,
FUTSTK,ESCORTS,28-Oct-2021,0.0,XX,1461.3,1470.0,1451.0,1452.35,1452.35,27,216.26,594000,-13750,16-SEP-2021,
FUTSTK,ESCORTS,25-Nov-2021,0.0,XX,1464.75,1464.75,1464.75,1464.75,1458.8,1,8.05,21450,-550,16-SEP-2021,
FUTSTK,EXIDEIND,30-Sep-2021,0.0,XX,183.9,183.9,180.7,182.7,182.7,388,2550.74,29203200,-1396800,16-SEP-2021,
FUTSTK,EXIDEIND,28-Oct-2021,0.0,XX,182.05,183.0,178.05,182.1,182.1,128,840.85,3268800,-460800,16-SEP-2021,
FUTSTK,EXIDEIND,25-Nov-2021,0.0,XX,0.0,0.0,0.0,184.9,184.2,0,0.0,468000,0,16-SEP-2021,
FUTSTK,FEDERALBNK,30-Sep-2021,0.0,XX,85.1,86.5,83.55,86.15,86.15,3711,31617.34,77630000,1180000,16-SEP-2021,
FUTSTK,FEDERALBNK,28-Oct-2021,0.0,XX,84.8,86.7,83.85,86.45,86.45,567,4850.14,5360000,1450000,16-SEP-2021,
